Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-July-2018,536.00,539.90,531.50,534.95,536.006267268683873576,296780,4159,159075940.00,41093,13.85,8.40,-1.05
25-July-2018,529.75,536.40,529.20,534.55,533.403504387672056898,452176,6156,241192263.00,62359,13.79,7.20,4.80
24-July-2018,517.40,529.00,517.30,526.70,524.813588857042606121,507298,7311,266236884.00,78783,15.53,11.70,9.30
23-July-2018,505.25,519.45,498.70,516.85,509.577039114211674228,526356,7228,268218932.00,86979,16.52,20.75,11.60
20-July-2018,499.30,505.85,495.45,503.45,501.355954712313778968,504508,7221,252938090.00,57279,11.35,10.40,4.15
19-July-2018,509.15,513.25,493.50,499.75,504.564234567623865018,1557845,16924,786032870.00,401929,25.80,19.75,-9.40
18-July-2018,537.70,537.70,501.15,504.70,510.924726812185081181,1210431,16518,618439128.00,262744,21.71,36.55,-33.00
17-July-2018,521.70,535.65,512.55,532.50,527.402202489182893550,680866,9080,359090228.00,85120,12.50,23.10,10.80
16-July-2018,558.30,559.35,516.25,519.30,534.133886486352690742,1131212,17899,604218662.00,338296,29.91,43.10,-39.00
13-July-2018,559.50,561.85,553.05,558.15,557.340243915405799104,470245,5895,262086463.00,64970,13.82,8.80,-1.35
12-July-2018,559.15,567.95,554.35,556.30,560.585125923580514992,555853,6947,311602924.00,102690,18.47,13.60,-2.85
11-July-2018,566.40,566.40,554.40,555.85,559.164391277923541008,404766,5632,226330734.00,79901,19.74,12.00,-10.55
10-July-2018,558.05,570.80,557.30,568.60,566.297510736771880081,719490,9444,407445396.00,119895,16.66,13.50,10.55
9-July-2018,564.25,565.80,555.70,556.85,559.826327255886050226,423204,5997,236920741.00,68477,16.18,10.10,-7.40
6-July-2018,557.40,564.00,547.05,554.15,556.770275527484095381,436980,5689,243297475.00,44499,10.18,16.95,-3.25
5-July-2018,565.00,565.00,551.75,553.50,557.715426310758469027,542949,7173,302811033.00,129355,23.82,13.25,-11.50
4-July-2018,567.00,572.95,560.10,568.90,568.211278296064645449,986798,6599,560709753.00,533809,54.10,12.85,1.90
3-July-2018,561.05,572.35,554.00,566.50,564.490352306551551770,662179,8346,373793657.00,42096,6.36,18.35,5.45
2-July-2018,575.20,586.50,556.25,560.95,569.541680333345481492,987804,13411,562595550.00,127254,12.88,30.25,-14.25
29-June-2018,552.00,569.85,551.70,567.85,563.593224811236502395,689752,8713,388739554.00,140927,20.43,18.15,15.85
28-June-2018,544.00,556.20,544.00,548.05,549.541025788874313473,554968,7151,304977684.00,61384,11.06,12.20,4.05
27-June-2018,550.00,552.85,539.25,543.25,543.623222799163843248,611847,5750,332614238.00,208996,34.16,13.60,-6.75
26-June-2018,558.90,560.00,538.35,549.35,548.202610852143562423,783882,10003,429726159.00,156811,20.00,21.65,-9.55
25-June-2018,560.00,564.60,556.00,558.50,560.803436906266864793,270534,3780,151716397.00,47039,17.39,8.60,-1.50
22-June-2018,560.20,564.45,556.40,560.45,560.337718684697443204,1386814,5144,777084193.00,1051112,75.79,8.05,0.25
